,Unnamed: 0,fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
670,670,Kailin Curran,"5' 4""",115 lbs.,"65""",Orthodox,"Apr 11, 1991",3.89,43%,4.75,53%,2.0,57%,61%,0.6
671,671,Jeff Curran,"5' 6""",135 lbs.,"69""",Orthodox,"Sep 02, 1977",1.54,31%,2.48,60%,0.35,12%,35%,1.2
674,674,Daron Cruickshank,"5' 8""",155 lbs.,"72""",Switch,"Jun 11, 1985",2.88,38%,2.98,57%,2.04,41%,60%,0.2
678,678,Henrique da Silva,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 01, 1989",3.89,60%,5.28,40%,0.25,14%,22%,0.2
680,680,Alex Da Silva,"5' 8""",155 lbs.,"73""",Orthodox,"Feb 04, 1996",2.07,46%,2.65,55%,2.75,43%,77%,0.4
681,681,Zak Cummings,"6' 0""",185 lbs.,"75""",Southpaw,"Aug 02, 1984",2.58,32%,2.83,55%,0.68,28%,65%,0.7
688,688,Aisling Daly,"5' 2""",115 lbs.,"64""",Orthodox,"Dec 24, 1987",2.92,52%,1.4,55%,2.15,41%,33%,0.9
690,690,Rodrigo Damm,"5' 7""",155 lbs.,"71""",Orthodox,"Feb 03, 1980",3.5,36%,5.61,57%,0.44,16%,80%,0.3
696,696,Mac Danzig,"5' 8""",155 lbs.,"70""",Orthodox,"Jan 02, 1980",3.39,48%,3.44,57%,1.2,37%,46%,0.6
699,699,Beneil Dariush,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",4.0,49%,2.72,59%,2.03,32%,81%,1.0
701,701,Kyle Daukaus,"6' 3""",185 lbs.,"76""",Southpaw,"Feb 27, 1993",3.69,59%,2.16,42%,2.33,41%,94%,1.7
705,705,Marcus Davis,"5' 10""",170 lbs.,"70""",Southpaw,"Aug 24, 1973",2.72,39%,2.79,65%,1.6,48%,47%,1.4
706,706,LC Davis,"5' 8""",135 lbs.,"69""",Southpaw,"Oct 28, 1980",2.04,30%,2.1,59%,2.27,46%,66%,0.2
707,707,Phil Davis,"6' 2""",205 lbs.,"79""",Orthodox,"Sep 25, 1984",2.85,34%,1.33,72%,2.99,38%,72%,0.6
711,711,Alexis Davis,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 04, 1984",4.18,47%,4.18,55%,0.94,40%,34%,0.8
714,714,Brandon Davis,"5' 10""",135 lbs.,"72""",Orthodox,"May 08, 1990",4.65,35%,4.33,60%,0.71,45%,56%,0.1
715,715,Grant Dawson,"5' 10""",145 lbs.,"72""",Switch,"Feb 20, 1994",3.4,48%,2.1,51%,3.44,34%,40%,1.6
717,717,Martin Day,"5' 10""",145 lbs.,"73""",Orthodox,"Nov 10, 1988",3.97,45%,3.79,53%,0.72,60%,65%,0.5
721,721,Philip De Fries,"6' 5""",250 lbs.,"79""",Orthodox,"Apr 21, 1986",2.3,47%,3.0,37%,3.29,42%,100%,0.6
722,722,Chris de la Rocha,"6' 3""",250 lbs.,"80""",Orthodox,"May 15, 1979",4.08,45%,6.37,43%,2.02,30%,33%,1.0
723,723,Montana De La Rosa,"5' 7""",125 lbs.,"68""",Orthodox,"Feb 14, 1995",2.85,36%,3.39,45%,2.14,28%,57%,1.2
724,724,Mark De La Rosa,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 31, 1994",3.13,35%,5.0,48%,0.54,13%,40%,0.2
730,730,Isabela de Padua,"5' 3""",125 lbs.,"64""",Orthodox,"Sep 04, 1991",1.0,35%,2.07,50%,2.0,66%,0%,1.0
740,740,Rolando Delgado,"6' 3""",155 lbs.,"77""",Orthodox,"Nov 22, 1981",1.56,40%,1.83,62%,1.17,22%,0%,3.5
742,742,Jon Delos Reyes,"5' 6""",125 lbs.,"67""",Orthodox,"Aug 19, 1987",2.99,38%,4.14,51%,3.2,83%,55%,1.9
743,743,Roland Delorme,"5' 9""",135 lbs.,"71""",Orthodox,"Dec 18, 1983",2.28,44%,4.32,40%,2.51,34%,42%,1.6
753,753,Tony DeSouza,"6' 0""",170 lbs.,"70""",Southpaw,"Jul 26, 1974",1.12,52%,1.57,41%,2.25,42%,40%,1.5
755,755,Mackenzie Dern,"5' 4""",115 lbs.,"63""",Orthodox,"Mar 24, 1993",3.74,38%,3.81,61%,0.28,5%,0%,2.2
760,760,Cyrille Diabate,"6' 6""",205 lbs.,"81""",Southpaw,"Oct 06, 1973",4.06,71%,1.78,60%,1.17,83%,53%,0.2
767,767,Hacran Dias,"5' 8""",155 lbs.,"69""",Orthodox,"Jun 16, 1984",2.08,41%,3.31,55%,2.5,39%,76%,0.5
768,768,Nick Diaz,"6' 1""",185 lbs.,"76""",Southpaw,"Aug 02, 1983",5.43,42%,3.56,61%,1.32,33%,60%,1.0
769,769,Nate Diaz,"6' 0""",170 lbs.,"76""",Southpaw,"Apr 16, 1985",4.62,45%,3.78,53%,1.19,30%,42%,1.4
777,777,TJ Dillashaw,"5' 6""",125 lbs.,"67""",Orthodox,"Feb 07, 1986",5.37,41%,3.03,65%,1.68,37%,86%,1.0
786,786,Russell Doane,"5' 7""",135 lbs.,"70""",Orthodox,"Aug 13, 1986",1.75,40%,1.68,53%,2.11,45%,52%,0.8
788,788,Drew Dober,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988",4.33,40%,3.87,54%,0.8,17%,55%,0.1
790,790,Joe Doerksen,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 09, 1977",1.43,42%,2.79,50%,2.02,33%,33%,2.3
796,796,CB Dollaway,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 10, 1983",2.65,47%,2.58,54%,3.55,54%,62%,1.2
798,798,Cody Donovan,"6' 3""",205 lbs.,"74""",Orthodox,"Feb 20, 1981",5.61,59%,5.44,45%,1.67,28%,0%,1.7
800,800,Roman Dolidze,"6' 2""",205 lbs.,"76""",Orthodox,"Jul 15, 1988",2.98,51%,1.75,61%,1.75,50%,33%,2.2
802,802,Anderson Dos Santos,"5' 5""",135 lbs.,"70""",Orthodox,"Jul 24, 1985",2.66,28%,4.8,55%,1.3,18%,66%,0.9
805,805,Tiago dos Santos e Silva,"5' 9""",145 lbs.,"70""",Orthodox,"Apr 12, 1987",3.69,35%,4.23,59%,0.63,11%,33%,0.3
806,806,Junior Dos Santos,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984",4.49,47%,3.33,56%,0.3,50%,81%,0.1
807,807,Rafael Dos Anjos,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 26, 1984",3.49,46%,3.22,61%,1.93,37%,58%,0.6
819,819,Tomasz Drwal,"6' 1""",205 lbs.,"76""",Orthodox,"Jan 22, 1982",3.29,38%,2.26,57%,3.55,60%,82%,0.4
825,825,Jessamyn Duke,"5' 11""",135 lbs.,"73""",Orthodox,"Jun 24, 1986",4.83,53%,4.43,57%,1.27,36%,50%,1.9
827,827,Joe Duffy,"5' 10""",155 lbs.,"73""",Orthodox,"Feb 18, 1988",2.68,34%,3.78,54%,0.96,66%,64%,0.7
833,833,Cody Durden,"5' 7""",125 lbs.,"67""",Southpaw,"Mar 29, 1991",3.11,48%,3.93,41%,3.28,26%,50%,0.8
835,835,Reuben Duran,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 02, 1983",3.19,49%,2.61,50%,0.98,23%,25%,0.7
838,838,Evan Dunham,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 18, 1981",5.33,39%,3.54,61%,1.82,33%,79%,1.0
842,842,Merab Dvalishvili,"5' 6""",135 lbs.,"68""",Orthodox,"Jan 10, 1991",3.91,39%,2.08,61%,7.71,43%,80%,0.3
850,850,Brian Ebersole,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 27, 1980",2.32,49%,2.14,56%,1.7,23%,61%,0.1
855,855,Frankie Edgar,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 16, 1981",3.7,39%,2.71,66%,2.28,31%,65%,0.3
859,859,Joselyne Edwards,"5' 8""",135 lbs.,"70""",Orthodox,"Sep 29, 1995",4.2,53%,3.83,46%,0.5,16%,37%,0.5
861,861,Justin Edwards,"5' 10""",155 lbs.,"70""",Orthodox,"Jan 26, 1983",2.68,42%,3.32,51%,2.14,26%,27%,1.0
862,862,Leon Edwards,"6' 2""",170 lbs.,"74""",Southpaw,"Aug 25, 1991",2.56,47%,2.03,55%,1.35,30%,70%,0.4
863,863,Yves Edwards,"5' 9""",155 lbs.,"73""",Southpaw,"Sep 30, 1976",2.91,42%,2.34,66%,0.76,53%,69%,0.7
867,867,Per Eklund,"5' 10""",155 lbs.,"72""",Orthodox,,2.07,61%,2.38,67%,2.07,11%,50%,3.6
870,870,Jake Ellenberger,"5' 9""",170 lbs.,"71""",Orthodox,"Mar 28, 1985",2.47,39%,2.83,60%,2.04,47%,86%,0.4
871,871,Darren Elkins,"5' 10""",145 lbs.,"71""",Orthodox,"May 16, 1984",3.5,38%,3.08,52%,2.7,33%,58%,1.2
872,872,Joe Ellenberger,"5' 9""",155 lbs.,"72""",Orthodox,"Mar 28, 1985",1.62,47%,3.45,48%,3.17,40%,0%,1.1
877,877,Tim Elliott,"5' 7""",125 lbs.,"66""",Southpaw,"Dec 24, 1986",3.35,45%,2.49,59%,4.01,49%,58%,1.1
881,881,Rob Emerson,"5' 9""",155 lbs.,"70""",Orthodox,"Jul 30, 1981",2.5,30%,2.83,64%,2.02,52%,65%,0.4
882,882,Ramazan Emeev,"5' 10""",170 lbs.,"76""",Southpaw,"May 23, 1987",2.5,45%,1.98,66%,2.33,29%,66%,0.5
883,883,Josh Emmett,"5' 6""",145 lbs.,"70""",Orthodox,"Mar 04, 1985",4.32,39%,4.02,63%,1.43,47%,50%,0.1
885,885,Fedor Emelianenko,"6' 0""",230 lbs.,"74""",Orthodox,"Sep 28, 1976",3.18,51%,1.0,63%,2.0,63%,82%,1.9
897,897,Julian Erosa,"6' 1""",145 lbs.,"74""",Southpaw,"Jul 31, 1989",5.07,47%,5.72,50%,1.32,54%,58%,0.9
905,905,Efrain Escudero,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 15, 1986",2.92,44%,2.3,63%,1.31,40%,66%,0.8
906,906,Carla Esparza,"5' 1""",115 lbs.,"63""",Orthodox,"Oct 10, 1987",2.29,42%,2.85,53%,3.44,35%,48%,0.3
907,907,Juan Espino,"6' 3""",250 lbs.,"80""",,"Oct 09, 1980",4.32,80%,0.54,42%,14.19,77%,0%,6.1
909,909,Jordan Espinosa,"5' 6""",125 lbs.,"69""",Orthodox,"Nov 08, 1989",4.22,52%,2.94,57%,0.75,28%,70%,0.2
911,911,Terry Etim,"6' 1""",155 lbs.,"73""",Orthodox,"Jan 11, 1986",2.16,35%,2.53,67%,0.43,30%,39%,1.4
913,913,Sijara Eubanks,"5' 4""",135 lbs.,"67""",Orthodox,"Apr 27, 1985",4.52,43%,3.69,57%,1.88,46%,65%,0.4
914,914,Billy Evangelista,"5' 8""",155 lbs.,"68""",Orthodox,"Oct 07, 1980",4.51,40%,3.96,61%,1.6,19%,61%,0.2
919,919,Tonya Evinger,"5' 7""",135 lbs.,"70""",Orthodox,"Jun 04, 1981",1.16,42%,4.02,38%,0.93,30%,33%,0.9
920,920,Andre Ewell,"5' 8""",135 lbs.,"75""",Southpaw,"Jan 21, 1988",4.42,41%,4.25,52%,0.29,66%,70%,0.1
924,924,Jessica Eye,"5' 6""",125 lbs.,"66""",Orthodox,"Jul 27, 1986",3.76,37%,4.01,55%,0.45,40%,57%,0.5
925,925,Wagnney Fabiano,"5' 6""",145 lbs.,"69""",Southpaw,"Jul 14, 1975",1.19,38%,0.66,70%,3.44,64%,100%,0.4
927,927,Urijah Faber,"5' 6""",135 lbs.,"67""",Orthodox,"May 14, 1979",2.65,40%,2.59,64%,1.54,30%,58%,0.8
942,942,Paul Felder,"5' 11""",155 lbs.,"70""",Orthodox,"Apr 25, 1984",3.7,44%,3.44,48%,0.29,28%,64%,0.2
943,943,Kevin Ferguson,"6' 2""",235 lbs.,"77""",Orthodox,"Feb 08, 1974",2.3,50%,3.41,38%,3.1,72%,36%,1.2
947,947,Tony Ferguson,"5' 11""",155 lbs.,"76""",Orthodox,"Feb 12, 1984",5.46,45%,3.94,59%,0.45,42%,70%,1.1
951,951,Cezar Ferreira,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 15, 1985",1.9,42%,2.44,53%,2.69,53%,84%,0.5
952,952,Diego Ferreira,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 18, 1985",4.85,37%,3.26,58%,0.89,26%,68%,0.9
955,955,Drew Fickett,"5' 10""",155 lbs.,"70""",Orthodox,"Dec 14, 1979",2.33,41%,2.29,57%,1.3,35%,30%,2.2
958,958,Deiveson Figueiredo,"5' 5""",125 lbs.,"68""",Orthodox,"Dec 18, 1987",3.38,56%,3.35,50%,1.57,50%,61%,2.4
960,960,Edwin Figueroa,"5' 7""",135 lbs.,"69""",Orthodox,"Jul 31, 1984",2.57,39%,3.06,51%,0.2,100%,37%,0.6
963,963,Andre Fili,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",3.73,36%,3.9,52%,2.5,49%,64%,0.2
967,967,Mirko Filipovic,"6' 2""",230 lbs.,"73""",Southpaw,"Sep 10, 1974",2.11,50%,1.89,63%,0.19,40%,78%,0.3
968,968,Luigi Fioravanti,"5' 8""",170 lbs.,"70""",Orthodox,"Jan 22, 1981",2.23,42%,2.21,69%,3.76,63%,67%,0.9
971,971,Spencer Fisher,"5' 7""",155 lbs.,"68""",Southpaw,"May 09, 1976",3.17,43%,3.03,64%,0.67,30%,60%,0.8
972,972,Chris Fishgold,"5' 8""",145 lbs.,"68""",Orthodox,"Jun 06, 1992",2.01,32%,2.7,46%,2.59,46%,44%,1.3
975,975,Jimmy Flick,"5' 7""",125 lbs.,"68""",Orthodox,"Sep 07, 1990",1.99,58%,2.3,50%,1.81,50%,0%,7.2
981,981,Jon Fitch,"6' 0""",170 lbs.,"74""",Orthodox,"Feb 24, 1978",2.61,50%,1.65,54%,3.6,51%,56%,0.8
985,985,Kenny Florian,"5' 10""",145 lbs.,"74""",Southpaw,"May 26, 1976",2.41,40%,1.85,63%,2.22,33%,60%,1.3
989,989,Rob Font,"5' 8""",135 lbs.,"71""",Orthodox,"Jun 25, 1987",5.21,42%,3.83,62%,1.2,36%,48%,0.8
990,990,Jesse Forbes,"6' 2""",185 lbs.,"75""",Southpaw,"Oct 24, 1984",2.11,24%,4.06,53%,1.79,75%,66%,1.2
994,994,Marcel Fortuna,"6' 1""",205 lbs.,"74""",Orthodox,"Oct 22, 1985",3.83,46%,4.52,64%,0.45,8%,75%,0.5
995,995,Jussier Formiga,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 14, 1985",1.42,39%,2.34,64%,1.82,35%,87%,0.6
997,997,Brian Foster,"5' 9""",170 lbs.,"71""",Orthodox,"Apr 03, 1984",3.3,39%,1.63,65%,3.67,60%,37%,1.8
999,999,John Franchi,"5' 6""",145 lbs.,"67""",Orthodox,"Jul 16, 1982",1.83,48%,2.59,48%,2.68,80%,40%,0.3
1002,1002,Hermes Franca,"5' 6""",155 lbs.,"71""",Orthodox,"Aug 26, 1974",1.78,39%,2.85,55%,1.53,36%,37%,2.4
1003,1003,Glaico Franca Moreira,"6' 0""",155 lbs.,"77""",Orthodox,"Feb 28, 1991",2.35,42%,3.46,47%,2.68,42%,76%,0.3
1005,1005,Rich Franklin,"6' 1""",185 lbs.,"76""",Southpaw,"Oct 05, 1974",4.1,44%,2.07,62%,1.31,66%,63%,0.7
1014,1014,Patricio Freire,"5' 5""",145 lbs.,"65""",,"Jul 07, 1987",2.84,41%,4.43,60%,0.6,18%,94%,0.6
1021,1021,Matt Frevola,"5' 9""",155 lbs.,"71""",Orthodox,"Jun 11, 1990",2.73,37%,3.44,58%,2.59,37%,40%,1.1
1022,1022,Jinh Yu Frey,"5' 3""",115 lbs.,"65""",Southpaw,"May 20, 1985",1.79,40%,3.35,44%,1.06,42%,83%,0.7
1043,1043,Claudia Gadelha,"5' 4""",115 lbs.,"63""",Orthodox,"Dec 07, 1988",3.31,41%,4.57,57%,3.03,42%,58%,0.7
1046,1046,Mitch Gagnon,"5' 5""",135 lbs.,"65""",Southpaw,"Oct 10, 1984",2.76,46%,2.21,61%,1.16,25%,65%,1.9
1049,1049,Mickey Gall,"6' 2""",170 lbs.,"74""",Switch,"Jan 22, 1992",2.55,46%,3.65,42%,1.15,26%,40%,2.1
1062,1062,Manvel Gamburyan,"5' 5""",135 lbs.,"67""",Orthodox,"May 08, 1981",2.13,41%,2.83,55%,3.26,34%,69%,0.7
1066,1066,Ciryl Gane,"6' 4""",245 lbs.,"81""",Orthodox,"Apr 12, 1990",5.04,55%,1.85,69%,1.13,26%,100%,0.5
1068,1068,Leonard Garcia,"5' 10""",145 lbs.,"68""",Orthodox,"Jul 14, 1979",2.77,24%,4.79,52%,0.3,26%,42%,0.5
1070,1070,Edgar Garcia,"5' 10""",170 lbs.,"71""",Orthodox,"Feb 22, 1984",3.16,29%,4.23,60%,2.21,57%,50%,0.6
1072,1072,Alex Garcia,"5' 9""",170 lbs.,"72""",Orthodox,"Jul 14, 1987",1.81,31%,3.03,59%,3.72,52%,66%,0.1
1073,1073,Steve Garcia,"6' 0""",155 lbs.,"75""",Southpaw,"May 22, 1992",4.31,55%,2.52,36%,0.61,25%,100%,0.6
1074,1074,Elias Garcia,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 13, 1992",1.59,27%,5.05,50%,0.68,14%,33%,1.4
1078,1078,Pablo Garza,"6' 1""",145 lbs.,"73""",Orthodox,"Sep 16, 1983",3.37,44%,2.7,50%,0.94,25%,15%,1.3
1082,1082,Kelvin Gastelum,"5' 9""",185 lbs.,"71""",Southpaw,"Oct 24, 1991",3.64,43%,2.92,59%,1.22,39%,64%,0.1
1083,1083,Louis Gaudinot,"5' 3""",125 lbs.,"63""",Orthodox,"Aug 28, 1984",2.34,37%,6.42,48%,0.57,40%,31%,1.1
1086,1086,Chad George,"5' 6""",135 lbs.,"68""",Southpaw,"Apr 30, 1982",1.26,50%,1.11,65%,3.08,46%,0%,1.3
1091,1091,Christos Giagos,"5' 10""",155 lbs.,"71""",Orthodox,"Jan 23, 1990",2.88,41%,2.59,51%,3.11,39%,50%,0.3
1100,1100,Cody Gibson,"5' 10""",135 lbs.,"71""",Orthodox,"Sep 11, 1987",2.47,31%,2.54,63%,1.85,38%,58%,0.4
1104,1104,Trevin Giles,"6' 0""",185 lbs.,"74""",Orthodox,"Aug 06, 1992",3.26,56%,1.88,62%,1.37,80%,79%,0.3
1106,1106,Gregor Gillespie,"5' 7""",155 lbs.,"71""",Orthodox,"Nov 13, 1986",3.58,49%,2.14,60%,7.02,47%,0%,0.9
1120,1120,Rick Glenn,"6' 0""",145 lbs.,"70""",Southpaw,"Apr 12, 1989",4.31,42%,4.29,53%,0.67,13%,66%,0.3
1127,1127,Marcelo Golm,"6' 3""",249 lbs.,"75""",Orthodox,"Sep 15, 1992",4.27,58%,4.3,45%,0.45,50%,87%,0.5
1130,1130,Frank Gomez,"5' 10""",135 lbs.,"67""",Orthodox,"Mar 31, 1986",1.52,48%,0.79,66%,1.14,60%,70%,0.8
1137,1137,Akihiro Gono,"5' 7""",170 lbs.,"68""",Switch,"Oct 07, 1974",2.18,48%,2.67,63%,1.01,84%,46%,0.5
1138,1138,Takanori Gomi,"5' 7""",155 lbs.,"70""",Southpaw,"Sep 22, 1978",3.81,41%,3.52,60%,1.23,65%,63%,0.8
1139,1139,Gabriel Gonzaga,"6' 2""",242 lbs.,"76""",Orthodox,"May 18, 1979",2.12,45%,2.94,57%,2.8,39%,66%,1.1
1143,1143,Fernando Gonzalez,"5' 9""",170 lbs.,"68""",Southpaw,"Sep 15, 1983",4.47,47%,4.03,65%,0.86,33%,43%,1.4
1161,1161,Thibault Gouti,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 27, 1987",3.68,34%,5.64,50%,1.23,80%,83%,0.3
1162,1162,Jonathan Goulet,"6' 0""",170 lbs.,"73""",Orthodox,"Jul 13, 1979",1.61,41%,2.01,46%,4.17,70%,45%,0.6
1165,1165,Wilson Gouveia,"6' 1""",185 lbs.,"76""",Orthodox,"Oct 03, 1978",3.02,39%,4.06,56%,0.9,66%,57%,2.2
1181,1181,Roger Gracie,"6' 4""",185 lbs.,"79""",Orthodox,"Sep 26, 1981",1.78,35%,1.79,61%,1.87,53%,60%,1.9
1183,1183,Kron Gracie,"5' 9""",145 lbs.,"70""",Southpaw,"Jul 11, 1988",5.15,41%,8.13,53%,0.88,25%,0%,0.9
1188,1188,Davey Grant,"5' 8""",135 lbs.,"69""",Orthodox,"Dec 18, 1985",3.93,47%,2.47,63%,2.3,45%,66%,0.2
1189,1189,TJ Grant,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 26, 1984",3.95,54%,3.21,56%,1.63,43%,36%,0.6
1190,1190,Tony Gravely,"5' 5""",135 lbs.,"69""",Orthodox,"Sep 28, 1991",3.69,55%,3.16,42%,5.6,51%,50%,0.8
1191,1191,Alexa Grasso,"5' 5""",125 lbs.,"66""",Orthodox,"Aug 09, 1993",4.96,43%,3.61,64%,0.28,40%,60%,0.6
1193,1193,Michael Graves,"5' 10""",170 lbs.,"71""",Orthodox,"Jan 08, 1991",1.25,54%,1.47,58%,4.8,52%,66%,0.4
1198,1198,Max Griffin,"5' 11""",170 lbs.,"76""",Orthodox,"Nov 29, 1985",4.14,48%,3.94,56%,1.7,51%,66%,0.5
1199,1199,Tyson Griffin,"5' 6""",145 lbs.,"68""",Orthodox,"Apr 20, 1984",3.71,41%,2.3,65%,1.87,46%,59%,0.9
1200,1200,Gabe Green,"5' 10""",170 lbs.,"73""",Switch,"May 02, 1993",6.57,46%,7.23,49%,1.0,100%,57%,0.5
1201,1201,Bobby Green,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 09, 1986",5.17,51%,3.32,63%,1.56,41%,72%,0.3
1202,1202,Matt Grice,"5' 8""",145 lbs.,"70""",Orthodox,"Jul 29, 1981",4.09,53%,2.69,56%,2.19,37%,82%,0.5
1205,1205,Forrest Griffin,"6' 3""",205 lbs.,"77""",Orthodox,"Mar 16, 1979",4.38,36%,2.81,61%,1.05,48%,57%,0.7
1208,1208,Jordan Griffin,"5' 10""",145 lbs.,"73""",Southpaw,"Feb 28, 1990",2.6,46%,3.18,48%,0.78,23%,42%,1.8
1211,1211,Josh Grispi,"5' 11""",145 lbs.,"74""",Orthodox,"Oct 14, 1988",1.44,41%,3.71,50%,1.97,36%,16%,2.2
1213,1213,Kendall Grove,"6' 6""",185 lbs.,"79""",Orthodox,"Nov 12, 1982",2.31,41%,2.4,54%,0.49,45%,56%,1.7
1217,1217,Vik Grujic,"5' 11""",170 lbs.,"73""",Orthodox,"Feb 06, 1977",2.24,48%,3.39,41%,1.18,33%,26%,0.4
1218,1218,Mike Grundy,"5' 7""",145 lbs.,"72""",Orthodox,"Jan 03, 1987",2.15,43%,4.09,58%,4.25,38%,100%,0.6
1224,1224,Shannon Gugerty,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 30, 1981",1.25,39%,1.88,58%,2.13,27%,50%,3.4
1225,1225,Clay Guida,"5' 7""",155 lbs.,"70""",Orthodox,"Dec 08, 1981",2.44,34%,2.57,63%,3.36,38%,68%,0.7
1226,1226,Melvin Guillard,"5' 9""",155 lbs.,"71""",Orthodox,"Mar 30, 1983",2.96,40%,1.85,66%,1.3,63%,61%,0.2
1231,1231,Jorge Gurgel,"5' 7""",155 lbs.,"69""",Orthodox,"Jan 25, 1977",3.37,32%,3.62,62%,0.81,23%,60%,0.5
1232,1232,John Gunderson,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 05, 1979",1.04,27%,1.71,58%,1.67,33%,11%,2.0
1234,1234,Alexander Gustafsson,"6' 5""",205 lbs.,"79""",Orthodox,"Jan 15, 1987",4.02,40%,3.42,51%,1.54,39%,83%,0.4
1237,1237,Chris Gutierrez,"5' 9""",145 lbs.,"67""",Orthodox,"Apr 22, 1991",4.3,57%,2.45,59%,0.57,60%,73%,0.2
1238,1238,Tim Hague,"6' 4""",260 lbs.,"76""",Orthodox,"May 09, 1983",2.79,47%,4.14,46%,1.72,33%,85%,0.9
1242,1242,Mike Guymon,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 17, 1974",2.75,65%,0.79,66%,1.87,37%,54%,1.2
1243,1243,Damir Hadzovic,"5' 9""",155 lbs.,"70""",Orthodox,"Aug 08, 1986",2.99,46%,2.99,66%,0.68,60%,39%,0.2
1247,1247,Ryan Hall,"5' 10""",145 lbs.,"70""",Southpaw,"Feb 22, 1985",2.32,43%,0.96,75%,0.31,16%,0%,0.9
1250,1250,Dennis Hallman,"5' 9""",155 lbs.,"72""",Orthodox,"Dec 02, 1975",1.12,44%,1.96,43%,1.79,30%,25%,2.1
1251,1251,Uriah Hall,"6' 0""",185 lbs.,"79""",Orthodox,"Jul 31, 1984",3.34,51%,3.54,53%,0.67,38%,69%,0.2
1252,1252,Piotr Hallmann,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 25, 1987",3.98,45%,3.17,58%,2.55,44%,70%,0.4
1267,1267,Kay Hansen,"5' 2""",115 lbs.,"63""",Orthodox,"Aug 14, 1999",3.57,59%,3.03,54%,2.19,25%,100%,1.6
1272,1272,Dan Hardy,"6' 0""",170 lbs.,"74""",Orthodox,"May 17, 1982",2.46,35%,3.44,51%,0.73,35%,35%,0.4
1279,1279,Dale Hartt,"5' 10""",155 lbs.,"69""",Orthodox,"Apr 04, 1979",1.14,35%,1.55,66%,1.22,100%,25%,2.5
1281,1281,Walt Harris,"6' 5""",250 lbs.,"77""",Southpaw,"Jun 10, 1983",2.95,38%,3.43,54%,0.3,28%,72%,0.1
1286,1286,Clay Harvison,"6' 1""",170 lbs.,"74""",Orthodox,"Sep 25, 1980",3.29,48%,3.91,58%,0.66,100%,68%,1.3
1293,1293,John Hathaway,"6' 1""",170 lbs.,"75""",Orthodox,"Jul 23, 1987",3.4,40%,1.8,62%,2.61,43%,60%,0.9
1302,1302,Dustin Hazelett,"6' 1""",170 lbs.,"76""",Orthodox,"Apr 29, 1986",2.24,40%,3.51,46%,0.55,50%,25%,4.1
1303,1303,James Head,"6' 1""",170 lbs.,"73""",Orthodox,"Feb 09, 1984",2.75,48%,3.11,49%,0.41,100%,66%,0.8
1304,1304,Pat Healy,"6' 0""",155 lbs.,"72""",Orthodox,"Jul 20, 1983",2.57,36%,2.57,50%,3.08,37%,55%,1.1
1307,1307,David Heath,"5' 11""",205 lbs.,"72""",Orthodox,"Feb 10, 1976",1.48,30%,5.16,49%,0.33,50%,57%,1.0
1308,1308,Marcin Held,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 18, 1992",1.41,34%,2.02,47%,2.46,46%,37%,1.3
1312,1312,Ian Heinisch,"5' 11""",185 lbs.,"72""",Orthodox,"Aug 05, 1988",3.28,50%,2.79,58%,1.13,18%,60%,0.8
1317,1317,Benson Henderson,"5' 9""",170 lbs.,"70""",Southpaw,"Nov 16, 1983",2.93,45%,1.79,63%,2.4,45%,63%,0.8
1318,1318,Johny Hendricks,"5' 9""",185 lbs.,"69""",Southpaw,"Sep 12, 1983",3.49,45%,3.99,53%,3.83,46%,63%,0.3
1319,1319,Dan Henderson,"5' 11""",185 lbs.,"74""",Orthodox,"Aug 24, 1970",2.44,47%,2.7,51%,1.52,52%,57%,0.3
1322,1322,Luis Henrique,"6' 2""",243 lbs.,"74""",Orthodox,"Aug 21, 1993",1.81,43%,2.22,47%,3.09,36%,50%,1.0
