,fighter_name,Height,Weight,Reach,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Stance_Open Stance,Stance_Orthodox,Stance_Southpaw,Stance_Switch
184,Jeff Curran,5' 6,135.,5' 6,"Sep 02, 1977",1.54,0.31,2.48,0.6,0.35,0.12,0.35,1.2,0,1,0,0
185,Daron Cruickshank,5' 8,155.,5' 8,"Jun 11, 1985",2.88,0.38,2.98,0.57,2.04,0.41,0.6,0.2,0,0,0,1
186,Henrique da Silva,6' 3,205.,6' 3,"Sep 01, 1989",3.89,0.6,5.28,0.4,0.25,0.14,0.22,0.2,0,1,0,0
187,Alex Da Silva,5' 8,155.,5' 8,"Feb 04, 1996",2.07,0.46,2.65,0.55,2.75,0.43,0.77,0.4,0,1,0,0
188,Zak Cummings,6' 0,185.,6' 0,"Aug 02, 1984",2.58,0.32,2.83,0.55,0.68,0.28,0.65,0.7,0,0,1,0
189,Aisling Daly,5' 2,115.,5' 2,"Dec 24, 1987",2.92,0.52,1.4,0.55,2.15,0.41,0.33,0.9,0,1,0,0
190,Rodrigo Damm,5' 7,155.,5' 7,"Feb 03, 1980",3.5,0.36,5.61,0.57,0.44,0.16,0.8,0.3,0,1,0,0
191,Mac Danzig,5' 8,155.,5' 8,"Jan 02, 1980",3.39,0.48,3.44,0.57,1.2,0.37,0.46,0.6,0,1,0,0
192,Beneil Dariush,5' 10,155.,5' 10,"May 06, 1989",4.0,0.49,2.72,0.59,2.03,0.32,0.81,1.0,0,0,1,0
193,Kyle Daukaus,6' 3,185.,6' 3,"Feb 27, 1993",3.69,0.59,2.16,0.42,2.33,0.41,0.94,1.7,0,0,1,0
194,Marcus Davis,5' 10,170.,5' 10,"Aug 24, 1973",2.72,0.39,2.79,0.65,1.6,0.48,0.47,1.4,0,0,1,0
195,LC Davis,5' 8,135.,5' 8,"Oct 28, 1980",2.04,0.3,2.1,0.59,2.27,0.46,0.66,0.2,0,0,1,0
196,Phil Davis,6' 2,205.,6' 2,"Sep 25, 1984",2.85,0.34,1.33,0.72,2.99,0.38,0.72,0.6,0,1,0,0
197,Alexis Davis,5' 6,135.,5' 6,"Oct 04, 1984",4.18,0.47,4.18,0.55,0.94,0.4,0.34,0.8,0,1,0,0
198,Brandon Davis,5' 10,135.,5' 10,"May 08, 1990",4.65,0.35,4.33,0.6,0.71,0.45,0.56,0.1,0,1,0,0
199,Grant Dawson,5' 10,145.,5' 10,"Feb 20, 1994",3.4,0.48,2.1,0.51,3.44,0.34,0.4,1.6,0,0,0,1
200,Martin Day,5' 10,145.,5' 10,"Nov 10, 1988",3.97,0.45,3.79,0.53,0.72,0.6,0.65,0.5,0,1,0,0
201,Philip De Fries,6' 5,250.,6' 5,"Apr 21, 1986",2.3,0.47,3.0,0.37,3.29,0.42,1.0,0.6,0,1,0,0
202,Chris de la Rocha,6' 3,250.,6' 3,"May 15, 1979",4.08,0.45,6.37,0.43,2.02,0.3,0.33,1.0,0,1,0,0
203,Montana De La Rosa,5' 7,125.,5' 7,"Feb 14, 1995",2.85,0.36,3.39,0.45,2.14,0.28,0.57,1.2,0,1,0,0
204,Mark De La Rosa,5' 6,135.,5' 6,"Aug 31, 1994",3.13,0.35,5.0,0.48,0.54,0.13,0.4,0.2,0,1,0,0
205,Isabela de Padua,5' 3,125.,5' 3,"Sep 04, 1991",1.0,0.35,2.07,0.5,2.0,0.66,0.0,1.0,0,1,0,0
206,Rolando Delgado,6' 3,155.,6' 3,"Nov 22, 1981",1.56,0.4,1.83,0.62,1.17,0.22,0.0,3.5,0,1,0,0
207,Jon Delos Reyes,5' 6,125.,5' 6,"Aug 19, 1987",2.99,0.38,4.14,0.51,3.2,0.83,0.55,1.9,0,1,0,0
208,Roland Delorme,5' 9,135.,5' 9,"Dec 18, 1983",2.28,0.44,4.32,0.4,2.51,0.34,0.42,1.6,0,1,0,0
209,Tony DeSouza,6' 0,170.,6' 0,"Jul 26, 1974",1.12,0.52,1.57,0.41,2.25,0.42,0.4,1.5,0,0,1,0
210,Mackenzie Dern,5' 4,115.,5' 4,"Mar 24, 1993",3.74,0.38,3.81,0.61,0.28,0.05,0.0,2.2,0,1,0,0
211,Cyrille Diabate,6' 6,205.,6' 6,"Oct 06, 1973",4.06,0.71,1.78,0.6,1.17,0.83,0.53,0.2,0,0,1,0
212,Hacran Dias,5' 8,155.,5' 8,"Jun 16, 1984",2.08,0.41,3.31,0.55,2.5,0.39,0.76,0.5,0,1,0,0
213,Nick Diaz,6' 1,185.,6' 1,"Aug 02, 1983",5.43,0.42,3.56,0.61,1.32,0.33,0.6,1.0,0,0,1,0
214,Nate Diaz,6' 0,170.,6' 0,"Apr 16, 1985",4.62,0.45,3.78,0.53,1.19,0.3,0.42,1.4,0,0,1,0
215,TJ Dillashaw,5' 6,125.,5' 6,"Feb 07, 1986",5.37,0.41,3.03,0.65,1.68,0.37,0.86,1.0,0,1,0,0
216,Russell Doane,5' 7,135.,5' 7,"Aug 13, 1986",1.75,0.4,1.68,0.53,2.11,0.45,0.52,0.8,0,1,0,0
217,Drew Dober,5' 8,155.,5' 8,"Oct 19, 1988",4.33,0.4,3.87,0.54,0.8,0.17,0.55,0.1,0,0,1,0
218,Joe Doerksen,6' 0,185.,6' 0,"Oct 09, 1977",1.43,0.42,2.79,0.5,2.02,0.33,0.33,2.3,0,1,0,0
219,CB Dollaway,6' 2,185.,6' 2,"Aug 10, 1983",2.65,0.47,2.58,0.54,3.55,0.54,0.62,1.2,0,1,0,0
220,Cody Donovan,6' 3,205.,6' 3,"Feb 20, 1981",5.61,0.59,5.44,0.45,1.67,0.28,0.0,1.7,0,1,0,0
221,Roman Dolidze,6' 2,205.,6' 2,"Jul 15, 1988",2.98,0.51,1.75,0.61,1.75,0.5,0.33,2.2,0,1,0,0
222,Anderson Dos Santos,5' 5,135.,5' 5,"Jul 24, 1985",2.66,0.28,4.8,0.55,1.3,0.18,0.66,0.9,0,1,0,0
223,Tiago dos Santos e Silva,5' 9,145.,5' 9,"Apr 12, 1987",3.69,0.35,4.23,0.59,0.63,0.11,0.33,0.3,0,1,0,0
224,Junior Dos Santos,6' 4,238.,6' 4,"Jan 30, 1984",4.49,0.47,3.33,0.56,0.3,0.5,0.81,0.1,0,1,0,0
225,Rafael Dos Anjos,5' 8,155.,5' 8,"Oct 26, 1984",3.49,0.46,3.22,0.61,1.93,0.37,0.58,0.6,0,0,1,0
226,Tomasz Drwal,6' 1,205.,6' 1,"Jan 22, 1982",3.29,0.38,2.26,0.57,3.55,0.6,0.82,0.4,0,1,0,0
227,Jessamyn Duke,5' 11,135.,5' 11,"Jun 24, 1986",4.83,0.53,4.43,0.57,1.27,0.36,0.5,1.9,0,1,0,0
228,Joe Duffy,5' 10,155.,5' 10,"Feb 18, 1988",2.68,0.34,3.78,0.54,0.96,0.66,0.64,0.7,0,1,0,0
229,Cody Durden,5' 7,125.,5' 7,"Mar 29, 1991",3.11,0.48,3.93,0.41,3.28,0.26,0.5,0.8,0,0,1,0
230,Reuben Duran,5' 7,135.,5' 7,"Jul 02, 1983",3.19,0.49,2.61,0.5,0.98,0.23,0.25,0.7,0,1,0,0
231,Evan Dunham,5' 10,155.,5' 10,"Dec 18, 1981",5.33,0.39,3.54,0.61,1.82,0.33,0.79,1.0,0,0,1,0
232,Merab Dvalishvili,5' 6,135.,5' 6,"Jan 10, 1991",3.91,0.39,2.08,0.61,7.71,0.43,0.8,0.3,0,1,0,0
233,Brian Ebersole,6' 0,170.,6' 0,"Nov 27, 1980",2.32,0.49,2.14,0.56,1.7,0.23,0.61,0.1,0,0,1,0
234,Frankie Edgar,5' 6,135.,5' 6,"Oct 16, 1981",3.7,0.39,2.71,0.66,2.28,0.31,0.65,0.3,0,1,0,0
235,Joselyne Edwards,5' 8,135.,5' 8,"Sep 29, 1995",4.2,0.53,3.83,0.46,0.5,0.16,0.37,0.5,0,1,0,0
236,Justin Edwards,5' 10,155.,5' 10,"Jan 26, 1983",2.68,0.42,3.32,0.51,2.14,0.26,0.27,1.0,0,1,0,0
237,Leon Edwards,6' 2,170.,6' 2,"Aug 25, 1991",2.56,0.47,2.03,0.55,1.35,0.3,0.7,0.4,0,0,1,0
238,Yves Edwards,5' 9,155.,5' 9,"Sep 30, 1976",2.91,0.42,2.34,0.66,0.76,0.53,0.69,0.7,0,0,1,0
239,Per Eklund,5' 10,155.,5' 10,,2.07,0.61,2.38,0.67,2.07,0.11,0.5,3.6,0,1,0,0
240,Jake Ellenberger,5' 9,170.,5' 9,"Mar 28, 1985",2.47,0.39,2.83,0.6,2.04,0.47,0.86,0.4,0,1,0,0
241,Darren Elkins,5' 10,145.,5' 10,"May 16, 1984",3.5,0.38,3.08,0.52,2.7,0.33,0.58,1.2,0,1,0,0
242,Joe Ellenberger,5' 9,155.,5' 9,"Mar 28, 1985",1.62,0.47,3.45,0.48,3.17,0.4,0.0,1.1,0,1,0,0
243,Tim Elliott,5' 7,125.,5' 7,"Dec 24, 1986",3.35,0.45,2.49,0.59,4.01,0.49,0.58,1.1,0,0,1,0
244,Rob Emerson,5' 9,155.,5' 9,"Jul 30, 1981",2.5,0.3,2.83,0.64,2.02,0.52,0.65,0.4,0,1,0,0
245,Ramazan Emeev,5' 10,170.,5' 10,"May 23, 1987",2.5,0.45,1.98,0.66,2.33,0.29,0.66,0.5,0,0,1,0
246,Josh Emmett,5' 6,145.,5' 6,"Mar 04, 1985",4.32,0.39,4.02,0.63,1.43,0.47,0.5,0.1,0,1,0,0
247,Fedor Emelianenko,6' 0,230.,6' 0,"Sep 28, 1976",3.18,0.51,1.0,0.63,2.0,0.63,0.82,1.9,0,1,0,0
248,Julian Erosa,6' 1,145.,6' 1,"Jul 31, 1989",5.07,0.47,5.72,0.5,1.32,0.54,0.58,0.9,0,0,1,0
249,Efrain Escudero,5' 9,155.,5' 9,"Jan 15, 1986",2.92,0.44,2.3,0.63,1.31,0.4,0.66,0.8,0,1,0,0
250,Carla Esparza,5' 1,115.,5' 1,"Oct 10, 1987",2.29,0.42,2.85,0.53,3.44,0.35,0.48,0.3,0,1,0,0
251,Juan Espino,6' 3,250.,6' 3,"Oct 09, 1980",4.32,0.8,0.54,0.42,14.19,0.77,0.0,6.1,0,0,0,0
252,Jordan Espinosa,5' 6,125.,5' 6,"Nov 08, 1989",4.22,0.52,2.94,0.57,0.75,0.28,0.7,0.2,0,1,0,0
253,Terry Etim,6' 1,155.,6' 1,"Jan 11, 1986",2.16,0.35,2.53,0.67,0.43,0.3,0.39,1.4,0,1,0,0
254,Sijara Eubanks,5' 4,135.,5' 4,"Apr 27, 1985",4.52,0.43,3.69,0.57,1.88,0.46,0.65,0.4,0,1,0,0
255,Billy Evangelista,5' 8,155.,5' 8,"Oct 07, 1980",4.51,0.4,3.96,0.61,1.6,0.19,0.61,0.2,0,1,0,0
256,Tonya Evinger,5' 7,135.,5' 7,"Jun 04, 1981",1.16,0.42,4.02,0.38,0.93,0.3,0.33,0.9,0,1,0,0
257,Andre Ewell,5' 8,135.,5' 8,"Jan 21, 1988",4.42,0.41,4.25,0.52,0.29,0.66,0.7,0.1,0,0,1,0
258,Jessica Eye,5' 6,125.,5' 6,"Jul 27, 1986",3.76,0.37,4.01,0.55,0.45,0.4,0.57,0.5,0,1,0,0
259,Wagnney Fabiano,5' 6,145.,5' 6,"Jul 14, 1975",1.19,0.38,0.66,0.7,3.44,0.64,1.0,0.4,0,0,1,0
260,Urijah Faber,5' 6,135.,5' 6,"May 14, 1979",2.65,0.4,2.59,0.64,1.54,0.3,0.58,0.8,0,1,0,0
261,Paul Felder,5' 11,155.,5' 11,"Apr 25, 1984",3.7,0.44,3.44,0.48,0.29,0.28,0.64,0.2,0,1,0,0
262,Kevin Ferguson,6' 2,235.,6' 2,"Feb 08, 1974",2.3,0.5,3.41,0.38,3.1,0.72,0.36,1.2,0,1,0,0
263,Tony Ferguson,5' 11,155.,5' 11,"Feb 12, 1984",5.46,0.45,3.94,0.59,0.45,0.42,0.7,1.1,0,1,0,0
264,Cezar Ferreira,6' 1,185.,6' 1,"Feb 15, 1985",1.9,0.42,2.44,0.53,2.69,0.53,0.84,0.5,0,0,1,0
265,Diego Ferreira,5' 9,155.,5' 9,"Jan 18, 1985",4.85,0.37,3.26,0.58,0.89,0.26,0.68,0.9,0,1,0,0
266,Drew Fickett,5' 10,155.,5' 10,"Dec 14, 1979",2.33,0.41,2.29,0.57,1.3,0.35,0.3,2.2,0,1,0,0
267,Deiveson Figueiredo,5' 5,125.,5' 5,"Dec 18, 1987",3.38,0.56,3.35,0.5,1.57,0.5,0.61,2.4,0,1,0,0
268,Edwin Figueroa,5' 7,135.,5' 7,"Jul 31, 1984",2.57,0.39,3.06,0.51,0.2,1.0,0.37,0.6,0,1,0,0
269,Andre Fili,5' 11,145.,5' 11,"Jun 25, 1990",3.73,0.36,3.9,0.52,2.5,0.49,0.64,0.2,0,1,0,0
270,Mirko Filipovic,6' 2,230.,6' 2,"Sep 10, 1974",2.11,0.5,1.89,0.63,0.19,0.4,0.78,0.3,0,0,1,0
271,Luigi Fioravanti,5' 8,170.,5' 8,"Jan 22, 1981",2.23,0.42,2.21,0.69,3.76,0.63,0.67,0.9,0,1,0,0
272,Spencer Fisher,5' 7,155.,5' 7,"May 09, 1976",3.17,0.43,3.03,0.64,0.67,0.3,0.6,0.8,0,0,1,0
273,Chris Fishgold,5' 8,145.,5' 8,"Jun 06, 1992",2.01,0.32,2.7,0.46,2.59,0.46,0.44,1.3,0,1,0,0
274,Jimmy Flick,5' 7,125.,5' 7,"Sep 07, 1990",1.99,0.58,2.3,0.5,1.81,0.5,0.0,7.2,0,1,0,0
275,Jon Fitch,6' 0,170.,6' 0,"Feb 24, 1978",2.61,0.5,1.65,0.54,3.6,0.51,0.56,0.8,0,1,0,0
276,Kenny Florian,5' 10,145.,5' 10,"May 26, 1976",2.41,0.4,1.85,0.63,2.22,0.33,0.6,1.3,0,0,1,0
277,Rob Font,5' 8,135.,5' 8,"Jun 25, 1987",5.21,0.42,3.83,0.62,1.2,0.36,0.48,0.8,0,1,0,0
278,Jesse Forbes,6' 2,185.,6' 2,"Oct 24, 1984",2.11,0.24,4.06,0.53,1.79,0.75,0.66,1.2,0,0,1,0
279,Marcel Fortuna,6' 1,205.,6' 1,"Oct 22, 1985",3.83,0.46,4.52,0.64,0.45,0.08,0.75,0.5,0,1,0,0
280,Jussier Formiga,5' 5,125.,5' 5,"Apr 14, 1985",1.42,0.39,2.34,0.64,1.82,0.35,0.87,0.6,0,1,0,0
281,Brian Foster,5' 9,170.,5' 9,"Apr 03, 1984",3.3,0.39,1.63,0.65,3.67,0.6,0.37,1.8,0,1,0,0
282,John Franchi,5' 6,145.,5' 6,"Jul 16, 1982",1.83,0.48,2.59,0.48,2.68,0.8,0.4,0.3,0,1,0,0
283,Hermes Franca,5' 6,155.,5' 6,"Aug 26, 1974",1.78,0.39,2.85,0.55,1.53,0.36,0.37,2.4,0,1,0,0
284,Glaico Franca Moreira,6' 0,155.,6' 0,"Feb 28, 1991",2.35,0.42,3.46,0.47,2.68,0.42,0.76,0.3,0,1,0,0
285,Rich Franklin,6' 1,185.,6' 1,"Oct 05, 1974",4.1,0.44,2.07,0.62,1.31,0.66,0.63,0.7,0,0,1,0
286,Patricio Freire,5' 5,145.,5' 5,"Jul 07, 1987",2.84,0.41,4.43,0.6,0.6,0.18,0.94,0.6,0,0,0,0
287,Matt Frevola,5' 9,155.,5' 9,"Jun 11, 1990",2.73,0.37,3.44,0.58,2.59,0.37,0.4,1.1,0,1,0,0
288,Jinh Yu Frey,5' 3,115.,5' 3,"May 20, 1985",1.79,0.4,3.35,0.44,1.06,0.42,0.83,0.7,0,0,1,0
289,Claudia Gadelha,5' 4,115.,5' 4,"Dec 07, 1988",3.31,0.41,4.57,0.57,3.03,0.42,0.58,0.7,0,1,0,0
290,Mitch Gagnon,5' 5,135.,5' 5,"Oct 10, 1984",2.76,0.46,2.21,0.61,1.16,0.25,0.65,1.9,0,0,1,0
291,Mickey Gall,6' 2,170.,6' 2,"Jan 22, 1992",2.55,0.46,3.65,0.42,1.15,0.26,0.4,2.1,0,0,0,1
292,Manvel Gamburyan,5' 5,135.,5' 5,"May 08, 1981",2.13,0.41,2.83,0.55,3.26,0.34,0.69,0.7,0,1,0,0
293,Ciryl Gane,6' 4,245.,6' 4,"Apr 12, 1990",5.04,0.55,1.85,0.69,1.13,0.26,1.0,0.5,0,1,0,0
294,Leonard Garcia,5' 10,145.,5' 10,"Jul 14, 1979",2.77,0.24,4.79,0.52,0.3,0.26,0.42,0.5,0,1,0,0
295,Edgar Garcia,5' 10,170.,5' 10,"Feb 22, 1984",3.16,0.29,4.23,0.6,2.21,0.57,0.5,0.6,0,1,0,0
296,Alex Garcia,5' 9,170.,5' 9,"Jul 14, 1987",1.81,0.31,3.03,0.59,3.72,0.52,0.66,0.1,0,1,0,0
297,Steve Garcia,6' 0,155.,6' 0,"May 22, 1992",4.31,0.55,2.52,0.36,0.61,0.25,1.0,0.6,0,0,1,0
298,Elias Garcia,5' 5,125.,5' 5,"Sep 13, 1992",1.59,0.27,5.05,0.5,0.68,0.14,0.33,1.4,0,0,1,0
299,Pablo Garza,6' 1,145.,6' 1,"Sep 16, 1983",3.37,0.44,2.7,0.5,0.94,0.25,0.15,1.3,0,1,0,0
300,Kelvin Gastelum,5' 9,185.,5' 9,"Oct 24, 1991",3.64,0.43,2.92,0.59,1.22,0.39,0.64,0.1,0,0,1,0
301,Louis Gaudinot,5' 3,125.,5' 3,"Aug 28, 1984",2.34,0.37,6.42,0.48,0.57,0.4,0.31,1.1,0,1,0,0
302,Chad George,5' 6,135.,5' 6,"Apr 30, 1982",1.26,0.5,1.11,0.65,3.08,0.46,0.0,1.3,0,0,1,0
303,Christos Giagos,5' 10,155.,5' 10,"Jan 23, 1990",2.88,0.41,2.59,0.51,3.11,0.39,0.5,0.3,0,1,0,0
304,Cody Gibson,5' 10,135.,5' 10,"Sep 11, 1987",2.47,0.31,2.54,0.63,1.85,0.38,0.58,0.4,0,1,0,0
305,Trevin Giles,6' 0,185.,6' 0,"Aug 06, 1992",3.26,0.56,1.88,0.62,1.37,0.8,0.79,0.3,0,1,0,0
306,Gregor Gillespie,5' 7,155.,5' 7,"Nov 13, 1986",3.58,0.49,2.14,0.6,7.02,0.47,0.0,0.9,0,1,0,0
307,Rick Glenn,6' 0,145.,6' 0,"Apr 12, 1989",4.31,0.42,4.29,0.53,0.67,0.13,0.66,0.3,0,0,1,0
308,Marcelo Golm,6' 3,249.,6' 3,"Sep 15, 1992",4.27,0.58,4.3,0.45,0.45,0.5,0.87,0.5,0,1,0,0
309,Frank Gomez,5' 10,135.,5' 10,"Mar 31, 1986",1.52,0.48,0.79,0.66,1.14,0.6,0.7,0.8,0,1,0,0
310,Akihiro Gono,5' 7,170.,5' 7,"Oct 07, 1974",2.18,0.48,2.67,0.63,1.01,0.84,0.46,0.5,0,0,0,1
311,Takanori Gomi,5' 7,155.,5' 7,"Sep 22, 1978",3.81,0.41,3.52,0.6,1.23,0.65,0.63,0.8,0,0,1,0
312,Gabriel Gonzaga,6' 2,242.,6' 2,"May 18, 1979",2.12,0.45,2.94,0.57,2.8,0.39,0.66,1.1,0,1,0,0
313,Fernando Gonzalez,5' 9,170.,5' 9,"Sep 15, 1983",4.47,0.47,4.03,0.65,0.86,0.33,0.43,1.4,0,0,1,0
314,Thibault Gouti,5' 10,155.,5' 10,"Feb 27, 1987",3.68,0.34,5.64,0.5,1.23,0.8,0.83,0.3,0,1,0,0
315,Jonathan Goulet,6' 0,170.,6' 0,"Jul 13, 1979",1.61,0.41,2.01,0.46,4.17,0.7,0.45,0.6,0,1,0,0
316,Wilson Gouveia,6' 1,185.,6' 1,"Oct 03, 1978",3.02,0.39,4.06,0.56,0.9,0.66,0.57,2.2,0,1,0,0
317,Roger Gracie,6' 4,185.,6' 4,"Sep 26, 1981",1.78,0.35,1.79,0.61,1.87,0.53,0.6,1.9,0,1,0,0
318,Kron Gracie,5' 9,145.,5' 9,"Jul 11, 1988",5.15,0.41,8.13,0.53,0.88,0.25,0.0,0.9,0,0,1,0
319,Davey Grant,5' 8,135.,5' 8,"Dec 18, 1985",3.93,0.47,2.47,0.63,2.3,0.45,0.66,0.2,0,1,0,0
320,TJ Grant,5' 10,155.,5' 10,"Feb 26, 1984",3.95,0.54,3.21,0.56,1.63,0.43,0.36,0.6,0,1,0,0
321,Tony Gravely,5' 5,135.,5' 5,"Sep 28, 1991",3.69,0.55,3.16,0.42,5.6,0.51,0.5,0.8,0,1,0,0
322,Alexa Grasso,5' 5,125.,5' 5,"Aug 09, 1993",4.96,0.43,3.61,0.64,0.28,0.4,0.6,0.6,0,1,0,0
323,Michael Graves,5' 10,170.,5' 10,"Jan 08, 1991",1.25,0.54,1.47,0.58,4.8,0.52,0.66,0.4,0,1,0,0
324,Max Griffin,5' 11,170.,5' 11,"Nov 29, 1985",4.14,0.48,3.94,0.56,1.7,0.51,0.66,0.5,0,1,0,0
325,Tyson Griffin,5' 6,145.,5' 6,"Apr 20, 1984",3.71,0.41,2.3,0.65,1.87,0.46,0.59,0.9,0,1,0,0
326,Gabe Green,5' 10,170.,5' 10,"May 02, 1993",6.57,0.46,7.23,0.49,1.0,1.0,0.57,0.5,0,0,0,1
327,Bobby Green,5' 10,155.,5' 10,"Sep 09, 1986",5.17,0.51,3.32,0.63,1.56,0.41,0.72,0.3,0,1,0,0
328,Matt Grice,5' 8,145.,5' 8,"Jul 29, 1981",4.09,0.53,2.69,0.56,2.19,0.37,0.82,0.5,0,1,0,0
329,Forrest Griffin,6' 3,205.,6' 3,"Mar 16, 1979",4.38,0.36,2.81,0.61,1.05,0.48,0.57,0.7,0,1,0,0
330,Jordan Griffin,5' 10,145.,5' 10,"Feb 28, 1990",2.6,0.46,3.18,0.48,0.78,0.23,0.42,1.8,0,0,1,0
331,Josh Grispi,5' 11,145.,5' 11,"Oct 14, 1988",1.44,0.41,3.71,0.5,1.97,0.36,0.16,2.2,0,1,0,0
332,Kendall Grove,6' 6,185.,6' 6,"Nov 12, 1982",2.31,0.41,2.4,0.54,0.49,0.45,0.56,1.7,0,1,0,0
333,Vik Grujic,5' 11,170.,5' 11,"Feb 06, 1977",2.24,0.48,3.39,0.41,1.18,0.33,0.26,0.4,0,1,0,0
334,Mike Grundy,5' 7,145.,5' 7,"Jan 03, 1987",2.15,0.43,4.09,0.58,4.25,0.38,1.0,0.6,0,1,0,0
335,Shannon Gugerty,5' 10,155.,5' 10,"Dec 30, 1981",1.25,0.39,1.88,0.58,2.13,0.27,0.5,3.4,0,1,0,0
336,Clay Guida,5' 7,155.,5' 7,"Dec 08, 1981",2.44,0.34,2.57,0.63,3.36,0.38,0.68,0.7,0,1,0,0
337,Melvin Guillard,5' 9,155.,5' 9,"Mar 30, 1983",2.96,0.4,1.85,0.66,1.3,0.63,0.61,0.2,0,1,0,0
338,Jorge Gurgel,5' 7,155.,5' 7,"Jan 25, 1977",3.37,0.32,3.62,0.62,0.81,0.23,0.6,0.5,0,1,0,0
339,John Gunderson,5' 9,155.,5' 9,"Jan 05, 1979",1.04,0.27,1.71,0.58,1.67,0.33,0.11,2.0,0,1,0,0
340,Alexander Gustafsson,6' 5,205.,6' 5,"Jan 15, 1987",4.02,0.4,3.42,0.51,1.54,0.39,0.83,0.4,0,1,0,0
341,Chris Gutierrez,5' 9,145.,5' 9,"Apr 22, 1991",4.3,0.57,2.45,0.59,0.57,0.6,0.73,0.2,0,1,0,0
342,Tim Hague,6' 4,260.,6' 4,"May 09, 1983",2.79,0.47,4.14,0.46,1.72,0.33,0.85,0.9,0,1,0,0
343,Mike Guymon,6' 0,170.,6' 0,"Sep 17, 1974",2.75,0.65,0.79,0.66,1.87,0.37,0.54,1.2,0,1,0,0
344,Damir Hadzovic,5' 9,155.,5' 9,"Aug 08, 1986",2.99,0.46,2.99,0.66,0.68,0.6,0.39,0.2,0,1,0,0
345,Ryan Hall,5' 10,145.,5' 10,"Feb 22, 1985",2.32,0.43,0.96,0.75,0.31,0.16,0.0,0.9,0,0,1,0
346,Dennis Hallman,5' 9,155.,5' 9,"Dec 02, 1975",1.12,0.44,1.96,0.43,1.79,0.3,0.25,2.1,0,1,0,0
347,Uriah Hall,6' 0,185.,6' 0,"Jul 31, 1984",3.34,0.51,3.54,0.53,0.67,0.38,0.69,0.2,0,1,0,0
348,Piotr Hallmann,5' 9,155.,5' 9,"Aug 25, 1987",3.98,0.45,3.17,0.58,2.55,0.44,0.7,0.4,0,1,0,0
349,Kay Hansen,5' 2,115.,5' 2,"Aug 14, 1999",3.57,0.59,3.03,0.54,2.19,0.25,1.0,1.6,0,1,0,0
350,Dan Hardy,6' 0,170.,6' 0,"May 17, 1982",2.46,0.35,3.44,0.51,0.73,0.35,0.35,0.4,0,1,0,0
351,Dale Hartt,5' 10,155.,5' 10,"Apr 04, 1979",1.14,0.35,1.55,0.66,1.22,1.0,0.25,2.5,0,1,0,0
352,Walt Harris,6' 5,250.,6' 5,"Jun 10, 1983",2.95,0.38,3.43,0.54,0.3,0.28,0.72,0.1,0,0,1,0
353,Clay Harvison,6' 1,170.,6' 1,"Sep 25, 1980",3.29,0.48,3.91,0.58,0.66,1.0,0.68,1.3,0,1,0,0
354,John Hathaway,6' 1,170.,6' 1,"Jul 23, 1987",3.4,0.4,1.8,0.62,2.61,0.43,0.6,0.9,0,1,0,0
355,Dustin Hazelett,6' 1,170.,6' 1,"Apr 29, 1986",2.24,0.4,3.51,0.46,0.55,0.5,0.25,4.1,0,1,0,0
356,James Head,6' 1,170.,6' 1,"Feb 09, 1984",2.75,0.48,3.11,0.49,0.41,1.0,0.66,0.8,0,1,0,0
357,Pat Healy,6' 0,155.,6' 0,"Jul 20, 1983",2.57,0.36,2.57,0.5,3.08,0.37,0.55,1.1,0,1,0,0
358,David Heath,5' 11,205.,5' 11,"Feb 10, 1976",1.48,0.3,5.16,0.49,0.33,0.5,0.57,1.0,0,1,0,0
359,Marcin Held,5' 9,155.,5' 9,"Jan 18, 1992",1.41,0.34,2.02,0.47,2.46,0.46,0.37,1.3,0,1,0,0
360,Ian Heinisch,5' 11,185.,5' 11,"Aug 05, 1988",3.28,0.5,2.79,0.58,1.13,0.18,0.6,0.8,0,1,0,0
361,Benson Henderson,5' 9,170.,5' 9,"Nov 16, 1983",2.93,0.45,1.79,0.63,2.4,0.45,0.63,0.8,0,0,1,0
362,Johny Hendricks,5' 9,185.,5' 9,"Sep 12, 1983",3.49,0.45,3.99,0.53,3.83,0.46,0.63,0.3,0,0,1,0
363,Dan Henderson,5' 11,185.,5' 11,"Aug 24, 1970",2.44,0.47,2.7,0.51,1.52,0.52,0.57,0.3,0,1,0,0
364,Luis Henrique,6' 2,243.,6' 2,"Aug 21, 1993",1.81,0.43,2.22,0.47,3.09,0.36,0.5,1.0,0,1,0,0
365,Danny Henry,6' 0,145.,6' 0,"Jul 17, 1988",5.2,0.51,4.16,0.45,0.74,0.33,0.5,2.2,0,1,0,0
366,Ed Herman,6' 1,205.,6' 1,"Oct 02, 1980",3.32,0.49,3.35,0.43,2.21,0.48,0.6,1.2,0,1,0,0
367,Jack Hermansson,6' 1,185.,6' 1,"Jun 10, 1988",5.03,0.44,3.46,0.54,1.96,0.34,0.75,0.7,0,1,0,0
368,Anthony Hernandez,6' 0,185.,6' 0,"Oct 18, 1993",4.92,0.55,5.09,0.47,3.76,0.66,0.7,1.9,0,1,0,0
369,Geane Herrera,5' 5,125.,5' 5,"May 27, 1990",1.51,0.31,5.07,0.52,0.83,0.37,0.38,0.6,0,1,0,0
